Academic_Year,Institution_Type_EN,Campus_Zone_EN,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Diploma,Higher Diploma,Masters, Total
2014,Non-Federal,Sharjah,Expat,Female,727,6,109,8,3,40,51, 944 
2014,Non-Federal,Sharjah,Expat,Male,539,19,55,8,80,40,80, 821 
2014,Non-Federal,Sharjah,Local,Female,608,19,61,1,18,40,103, 850 
2014,Non-Federal,Sharjah,Local,Male,291,19,16,1,18,40,140, 525 
2015,Federal,Abu Dhabi,Expat,Female,277,19,3,9,80,2,85, 475 
2015,Federal,Abu Dhabi,Expat,Male,149,19,1,5,80,1,83, 338 
2015,Federal,Abu Dhabi,Local,Female,"1,843",20,166,6,18,113,298," 2,464 "
2015,Federal,Abu Dhabi,Local,Male,754,116,51,8,18,170,144," 1,261 "
2015,Federal,Dubai,Expat,Female,8,19,1,8,80,40,5, 161 
2015,Federal,Dubai,Expat,Male,7,19,55,8,80,40,5, 214 
2015,Federal,Dubai,Local,Female,880,73,70,8,80,103,27," 1,241 "
2015,Federal,Dubai,Local,Male,206,21,14,8,18,71,34, 372 
2015,Federal,Fujairah,Local,Female,102,19,7,8,18,11,3, 168 
2015,Federal,Fujairah,Local,Male,10,6,1,8,18,8,132, 183 
2015,Federal,Ras Al Khaimah,Local,Female,106,2,26,8,80,40,2, 264 
2015,Federal,Ras Al Khaimah,Local,Male,41,9,14,8,80,7,132, 291 
2015,Federal,Sharjah,Local,Female,205,19,20,8,80,36,1, 369 
2015,Federal,Sharjah,Local,Male,50,1,11,8,80,9,132, 291 
2015,Federal,Abu Dhabi,Expat,Female,211,19,55,8,18,40,1, 352 
2015,Federal,Abu Dhabi,Local,Female,211,19,55,8,80,40,4, 417 
2015,Federal,Abu Dhabi,Local,Male,424,19,55,8,80,40,1, 627 
2015,Non-Federal,Abu Dhabi,Expat,Female,573,4,349,8,750,40,141," 1,865 "
2015,Non-Federal,Abu Dhabi,Expat,Male,508,3,145,1,68,40,219, 984 
2015,Non-Federal,Abu Dhabi,Local,Female,639,6,194,8,1,27,274," 1,149 "
2015,Non-Federal,Abu Dhabi,Local,Male,"1,365",9,397,1,80,65,258," 2,175 "
2015,Non-Federal,Ajman,Expat,Female,616,19,2,8,78,40,20, 783 
2015,Non-Federal,Ajman,Expat,Male,482,19,14,8,5,40,15, 583 
2015,Non-Federal,Ajman,Local,Female,203,19,8,8,80,40,18, 376 
2015,Non-Federal,Ajman,Local,Male,164,6,55,8,18,40,23, 314 
